id,type,part,parent,movie,from,to,param,target,classes,colonne,rang,width,height,texte
1,part,0,,,,,,,,,,,,Prologue
2,video,0,,1,00:00:30,00:04:14,,,,,,,,
3,text,0,,,00:00:10,00:00:20,font:Regular,#bloc1,"size4,center,regular",7,1,10,6,A Richer Dust
4,text,0,,,00:00:20,00:00:30,font:Bold,#bloc2,bold,7,6,10,6,"Symphonie n°1 pour narrateurs et orchestre à vents
une proposition entre musique et arts visuels"
5,clear,0,4,,,,bloc1,,,,,,,
6,text,0,,,00:00:30,00:00:40,,#bloc2,,2,2,3,3,Nigel Clarck
7,text,0,6,,00:00:30,00:00:40,"delay:2,font:Slanted",#bloc3,slanted,2,5,3,3,Malene Sheppard
8,part,1,,,,,,,,,,,,Still We Drudge in this Dark Maze
9,video,1,,1,00:00:00,00:04:14,,,,,,,,
10,text,1,,,00:00:00,00:00:05,,#bloc2,,,,,,I.Still We Drudge in this Dark Maze
11,key,1,,,00:04:00,,,,,,,,,
12,text,1,,,00:04:13,00:04:14,,#bloc1,size1,1,2,4,3,hear me—
13,text,1,12,,00:04:15,00:04:27,,#bloc2,size2,4,2,10,1,"ten, nine, eight, seven, six, five, four, three, two, one…"
14,light,1,12,,/,/,"from:0,to:100",,,,,,,
15,text,1,12,,00:04:29,00:04:36,,#bloc3,size3,21,2,4,5,"maimed civilians
killed, murdered
unknown numbers
soldiers missing too"
16,text,1,12,,00:04:37,00:04:45,,#bloc4,size4,1,2,21,2,horror terror violence war
17,text,1,,,00:04:48,00:04:51,,#bloc1,,21,2,4,1,if only it was someone else’s son
18,text,1,,,00:04:52,00:04:54,,#bloc1,,1,2,4,1,mother screams
19,text,1,,,00:04:58,00:04:59,,#bloc1,,6,2,4,1,listen to me
20,text,1,,,00:05:02,00:05:05,,#bloc1,,21,2,4,1,war is the health of the state
21,text,1,,,00:05:17,00:05:25,,#bloc1,,1,2,4,2,dirtied bloodied stinking
22,text,1,,,00:05:31,00:05:33,,#bloc1,,1,2,4,1,prepare war for peace
23,text,1,,,00:05:35,00:05:43,,#bloc1,,6,2,4,4,"who do you believe ?
who do you choose to follow ?
what to believe ?"
24,text,1,,,00:05:45,00:05:49,,#bloc1,,1,2,4,1,"prepare for peace, avoid war"
25,text,1,,,00:05:55,00:05:57,,#bloc1,,21,2,4,1,we tortured some folks
26,text,1,,,00:06:31,00:06:38,,#bloc1,,1,2,21,2,justify validate execute
27,text,1,,,00:06:39,00:06:42,,#bloc1,,1,2,4,1,third world starves
28,text,1,,,00:06:43,00:06:45,,#bloc1,,12,2,4,1,second world fight
29,text,1,,,00:06:47,00:06:49,,#bloc1,,21,2,4,1,first world feasts
30,text,1,,,00:06:58,00:07:02,,#bloc1,,21,2,4,1,do future threats justify violence ?
31,text,1,,,00:09:10,00:09:15,,#bloc1,,1,2,21,2,hit hurt hunt
32,text,1,,,00:09:16,00:09:18,,#bloc1,,1,2,4,1,are we ever justified ?
33,text,1,,,00:09:19,00:09:21,,#bloc1,,21,2,4,1,no one listens
34,text,1,,,00:09:22,00:09:25,,#bloc1,,1,2,4,2,thousands of memorial to the dead of the past
35,text,1,,,00:09:26,00:09:33,,#bloc1,,21,2,4,2,"honourable wars, soldiers
pride ? propaganda ? truth ? memory?"
36,text,1,,,00:09:33,00:09:36,,#bloc1,,1,2,4,1,one memorial to the dead in the future
37,text,1,,,00:09:37,00:09:43,,#bloc1,,21,2,4,2,"atrocities, destruction, massacre
 air raids — who dies — died ?"
38,text,1,,,00:09:43,00:09:46,,#bloc1,,1,2,4,1,shaming those who refuse
39,text,1,,,00:09:46,00:09:51,,#bloc1,,21,2,4,2,"deserted, executed pacifist — it was his third tour"
