id,type,part,parent,movie,from,to,param,target,classes,colonne,rang,width,height,texte
1,part,0,,,,,,,,,,,,Prologue
2,video,0,,1,00:00:00,00:17:30,,,,,,,,
3,text,0,,,00:00:00,,,#bloc1,"size2,bold",0,0,24,1,abcdefghijklmnopqrstuvwyyz
4,text,0,,,00:00:00,,,#bloc2,"size2,bold",0,1,24,1,ABCDEFGHIJKLMNOPQRSTUVWXYZ
5,text,0,,,00:00:00,,,#bloc3,"size2,slanted",0,2,24,1,abcdefghijklmnopqrstuvwyyz
6,text,0,,,00:00:00,,,#bloc4,"size2,slanted",0,3,24,1,ABCDEFGHIJKLMNOPQRSTUVWXYZ
7,text,0,,,00:00:00,,,#bloc5,"size2,thin",0,4,24,1,abcdefghijklmnopqrstuvwyyz
8,text,0,,,00:00:00,,,#bloc6,"size2,thin",0,5,24,1,ABCDEFGHIJKLMNOPQRSTUVWXYZ
9,text,0,,,00:00:00,,,#bloc7,"size2,serif",0,6,24,1,abcdefghijklmnopqrstuvwyyz
10,text,0,,,00:00:00,,,#bloc8,"size2,serif",0,7,24,1,ABCDEFGHIJKLMNOPQRSTUVWXYZ
11,text,0,,,00:00:00,,,#bloc9,"size2,large",0,8,24,1,abcdefghijklmnopqrstuvwyyz
12,text,0,,,00:00:00,,,#bloc10,"size2,large",0,9,24,1,ABCDEFGHIJKLMNOPQRSTUVWXYZ
13,clear,0,,,00:00:05,,all,,,,,,,
14,text,0,,,00:14:40,00:17:08,,#bloc1,"size4,center,bold",6,5,14,3,A Richer Dust
15,text,0,14,,00:14:40,00:17:08,,#bloc2,"size1,center,bold",8,9,10,2,"Symphonie n°1 pour narrateurs et orchestre à vents
une proposition entre musique et arts visuels"
16,text,0,14,,00:14:40,00:17:08,delay:2,#bloc3,"size1,bold",8,11,3,1,Nigel Clarck
17,text,0,14,,00:14:40,00:17:08,delay:2,#bloc4,"size1,bold",15,11,4,1,Malene Sheppard
18,clear,0,,,00:17:08,,all,,,,,,,
19,part,1,,,,,title:1,,"center,centerV,large,size3,fadeIn",2,3,20,6,I.Still We Drudge in this Dark Maze
20,video,1,,1,00:00:00,00:17:01,,,,,,,,
21,key,1,,,00:04:00,,,,,,,,,
22,text,1,,,00:04:13,00:04:14,,#bloc1,"size2,slanted",0,1,4,2,hear me—
23,text,1,22,,00:04:15,00:04:27,,#bloc1,"size3, regular, center",10,1,4,2,"ten, "
24,text,1,22,,00:04:15,00:04:27,,#bloc1,"size3, regular, center",10,1,4,2,"nine, "
25,text,1,22,,00:04:15,00:04:27,,#bloc1,"size3, regular, center",10,1,4,2,"eight, "
26,text,1,22,,00:04:15,00:04:27,,#bloc1,"size3, regular, center",10,1,4,2,"seven, "
27,text,1,22,,00:04:15,00:04:27,,#bloc1,"size3, regular, center",10,1,4,2,"six, "
28,text,1,22,,00:04:15,00:04:27,,#bloc1,"size3, regular, center",10,1,4,2,"five,"
29,text,1,22,,00:04:15,00:04:27,,#bloc1,"size3, regular, center",10,1,4,2,"four, "
30,text,1,22,,00:04:15,00:04:27,,#bloc1,"size3, regular, center",10,1,4,2,"three, "
31,text,1,22,,00:04:15,00:04:27,,#bloc1,"size3, regular, center",10,1,4,2,"two, "
32,text,1,22,,00:04:15,00:04:27,,#bloc1,"size3, regular, center",10,1,4,2,one…
24,light,1,22,,/,/,"from:0,to:100",,,,,,,
25,text,1,22,,00:04:29,00:04:36,,#bloc1,"size2, thin, right",20,1,4,5,"maimed civilians<br>killed, murdered<br>unknown numbers<br>soldiers missing too"
26,text,1,22,,00:04:37,00:04:45,,#bloc1,"size3, regular, center",5,5,18,2,horror terror violence war
27,text,1,,,00:04:48,00:04:51,,#bloc1,"size2, slanted, right",20,1,4,1,if only it was someone else’s son
28,text,1,,,00:04:52,00:04:54,,#bloc1,"size2,regular",0,1,4,2,mother screams
29,text,1,,,00:04:58,00:04:59,,#bloc1,"size2, slanted",0,1,4,2,listen to me
30,text,1,,,00:05:02,00:05:05,28,#bloc1,"size2, slanted, right",20,1,4,2,war is the health of the state
31,text,1,,,00:05:17,00:05:25,,#bloc1,"size3, regular, center",5,5,18,2,dirtied bloodied stinking
32,text,1,,,00:05:31,00:05:33,,#bloc1,"size1,regular",0,1,4,2,prepare war for peace
33,text,1,,,00:05:35,00:05:43,,#bloc1,"size2,slanted",0,1,4,2,who do you believe ?<br>who do you choose to follow ?<br>what to believe ?
34,text,1,,,00:05:45,00:05:49,,#bloc1,"size2,regular",0,1,4,2,"prepare for peace, avoid war"
35,text,1,,,00:05:55,00:05:57,,#bloc1,"size2, slanted, right",20,1,4,2,we tortured some folks
36,text,1,,,00:06:31,00:06:38,,#bloc1,"size3, regular, center",6,5,18,2,justify validate execute
37,text,1,,,00:06:39,00:06:42,,#bloc1,"size2, slanted",10,1,4,2,third world starves
38,text,1,,,00:06:43,00:06:45,,#bloc1,"size2, slanted",10,1,4,2,second world fight
39,text,1,,,00:06:47,00:06:49,,#bloc1,"size2, slanted",10,1,4,2,first world feasts
40,text,1,,,00:06:58,00:07:02,,#bloc1,"size2, slanted",10,10,4,2,do future threats justify violence ?
41,text,1,,,00:09:10,00:09:15,,#bloc1,"size3, regular, center",8,5,18,2,hit hurt hunt
42,text,1,,,00:09:16,00:09:18,,#bloc1,"size2,slanted",0,1,4,2,are we ever justified ?
43,text,1,,,00:09:19,00:09:21,,#bloc1,"size2, thin",10,10,4,2,no one listens
44,text,1,,,00:09:22,00:09:25,,#bloc1,"size2,regular",0,1,4,2,thousands of memorial to the dead of the past
45,text,1,,,00:09:26,00:09:33,,#bloc1,"size2, regular, right",20,1,4,5,"honourable wars, soldiers
pride ? propaganda ? truth ? memory?"
46,text,1,,,00:09:33,00:09:36,,#bloc1,"size2,regular",0,1,4,2,one memorial to the dead in the future
47,text,1,,,00:09:37,00:09:43,,#bloc1,"size2, regular, right",20,1,4,5,"atrocities, destruction, massacre
 air raids — who dies — died ?"
48,text,1,,,00:09:43,00:09:46,,#bloc1,"size2,regular",0,1,4,2,shaming those who refuse
49,text,1,,,00:09:46,00:09:51,,#bloc1,"size2, regular, right",20,1,4,5,"deserted, executed pacifist — it was his third tour"
50,text,1,,,00:09:52,00:09:56,,#bloc1,"size2,regular",0,1,4,2,world without war — dream ridiculed
51,text,1,,,00:09:56,00:10:03,,#bloc1,"size2, regular, right",20,1,4,5,"ignored, irrelevant civilians or just poor and peaceful"
52,text,1,,,00:10:03,00:10:06,,#bloc1,"size2,regular",0,1,4,2,"losing side — blamed, punished"
53,text,1,,,00:10:06,00:10:13,,#bloc1,"size2, regular, right",20,1,4,5,"out-witted, out-bedded, conquered<br>— they should have known better<br>losers as fault"
54,text,1,,,00:10:14,00:10:24,,#bloc1,"size2,slanted",0,1,4,2,I hate war<br>you love war ?<br>I love my country<br>that’s not the same<br>how do you know — for sure
55,text,1,,,00:11:55,00:12:04,,#bloc1,"size3, regular, center",2,5,18,2,maimed wounded crippled mangled
56,text,1,,,00:12:06,00:12:09,,#bloc1,"size2,slanted",0,1,4,2,only sit at my table if I knew your grandfather
57,text,1,,,00:12:12,00:12:17,,#bloc1,"size3, regular, center",8,5,18,2,casualties fatalities
58,text,1,,,00:12:18,00:12:22,,#bloc1,"size2,slanted",0,1,4,2,I have earned the right to my opinion
59,text,1,,,00:12:24,00:12:42,,#bloc1,"size2, regular, right",20,1,4,5,"Civil War, Great War, World War,<br>Hundred Years War, Thirty Years War, War of the Triple Alliance,<br>War on Terror, Overseas Contingency Operation"
60,text,1,,,00:12:43,00:12:49,,#bloc1,"size2,slanted",0,1,4,2,there is never one point of view<br>one interest<br>one consequence
61,text,1,,,00:12:49,00:12:53,,#bloc1,"size3, regular, center",5,5,18,2,money love power money
62,text,1,,,00:12:53,00:13:00,,#bloc1,"size2, regular, right",20,1,4,5,"started and finished in an instance<br>pointless, never-ending, pause for peace"
63,text,1,,,00:13:00,00:13:03,,#bloc1,"size2, slanted, right",20,1,4,5,"for God, king and country"
64,text,1,,,00:13:03,00:13:06,,#bloc1,"size2,slanted",0,1,4,2,they shall not grow old —
65,text,1,,,00:14:12,00:14:16,,#bloc1,"size3, regular, center",4,5,18,2,dead deadly done
66,text,1,,,00:14:16,00:14:18,,#bloc1,"size2, slanted",20,10,4,2,— we are of our time
67,text,1,,,00:14:19,00:14:20,,#bloc1,"size2, regular, right",20,10,4,2,out of time
68,part,2,,,,,title:1,,"center,centerV,large,size3,fadeIn",2,3,20,6,II.Living picture of the dead
69,video,2,,1,00:00:00,00:00:49,,,,,,,,
70,text,2,,,00:00:15,00:00:22,,#bloc1,"size3,slanted,center",4,5,18,2,they them themselves theirs
71,clear,2,,,00:00:22,,bloc1,,,,,,,
72,text,2,,,00:00:32,00:00:39,,#bloc1,"size2,slanted",2,2,11,2,what images do you remember?<br>what images do they want you to remember?<br>forever
73,clear,2,,,00:00:39,,bloc1,,,,,,,
74,video,2,,2,00:00:49,00:01:05,,,,,,,,
75,video,2,,3,00:01:05,00:02:45,,,,,,,,
76,text,2,,,00:01:09,00:01:23,,#bloc1,"size3,slanted",9,1,16,12,— they came in the middle of the night<br>— they bombed my house<br>— they left me behind to die<br>— they started it<br>— it is their fault
77,clear,2,,,00:01:23,,bloc1,,,,,,,
78,text,2,,,00:01:34,00:01:47,,#bloc1,"size2,slanted",14,9,9,4,"strings for indoors — violin, harp — singing, dancing, flirting<br>winds for outdoors — trumpets, drums — hunting, fighting, marching"
79,clear,2,,,00:01:47,,bloc1,,,,,,,
80,text,2,,,00:02:37,00:02:45,,#bloc1,"size3,bold",10,6,13,6,thou shalt not kill<br>thou shalt love thy neighbour as thyself
81,video,2,,4,00:02:45,00:03:08,,,,,,,,
82,text,2,,,00:02:46,00:02:54,,#bloc1,"size3,bold",14,3,12,10,"war<br>destruction, profits<br>hidden artefacts, uncovered, past, present, future"
83,text,2,,,00:02:56,00:03:00,,#bloc1,"size3,bold",1,3,10,2,"Boston Marathon
"
84,text,2,83,,,,,#bloc2,"size6,bold",1,5,24,8,3 dead
85,clear,2,,,00:03:00,,all,,,,,,,
86,text,2,,,00:03:01,00:03:08,,#bloc1,"size3,bold",,,,,"shaking band<br>fear, anxiety<br>excitement, love"
87,clear,2,,,00:03:08,,bloc1,,,,,,,
88,video,2,,5,00:03:08,00:03:20,,,,,,,,
89,video,2,,6,00:03:20,00:03:52,,,,,,,,
90,text,2,,,00:03:30,00:03:39,,#bloc1,"size3,bold",1,3,10,2,"World War One
"
91,text,2,90,,,,,#bloc2,"size5,bold,Vbottom",1,4,21,8,estimated 17 million dead
92,clear,2,,,00:03:39,,all,,,,,,,
93,text,2,,,00:03:46,00:03:51,,#bloc1,"size3,bold",13,1,8,5,white feather<br>coward<br>angel
94,clear,2,,,00:03:51,,bloc1,,,,,,,
95,video,2,,7,00:03:52,00:04:18,,,,,,,,
96,text,2,,,00:04:17,00:04:22,,#bloc1,"size3,bold",1,3,2,2,7/7
97,text,2,96,,,,,#bloc2,"size6,bold",1,5,24,8,52 dead
98,clear,2,,,00:04:22,,all,,,,,,,
99,video,2,,8,00:04:18,00:05:07,,,,,,,,
100,text,2,,,00:04:22,00:04:27,,#bloc1,"size3,bold",13,1,12,6,"red rose, white rose<br>red poppy, white poppy"
101,text,2,,,00:04:27,00:04:33,,#bloc1,"size3,bold",1,3,10,2,"World War Two
"
102,text,2,101,,,,,#bloc2,"size5,bold",1,6,19,8,50 - 70 million people dead
103,clear,2,,,00:04:33,,all,,,,,,,
104,text,2,,,00:04:34,00:04:38,,#bloc1,"size3,bold",6,4,13,6,"father carries his son<br>wounded<br>game, love"
105,text,2,,,00:04:39,00:04:49,,#bloc1,"size3,bold",1,3,10,2,"Hiroshima Nagasaki
"
106,text,2,105,,,,,#bloc2,"size5,bold",1,6,19,8,"129,000 - 246,000 dead"
107,clear,2,,,00:04:49,,all,,,,,,,
108,text,2,,,00:04:49,00:04:54,,#bloc1,"size3,bold",18,2,5,9,"shovel<br>weapon, tool<br>death, life"
109,text,2,,,00:04:55,00:05:01,,#bloc1,"size3,bold",1,3,10,2,"Luxor, Egypt- massacre
"
110,text,2,109,,,,,#bloc2,"size5,bold",1,6,24,8,62 dead - tourists targeted
111,clear,2,,,00:05:01,,all,,,,,,,
112,text,2,,,00:05:01,00:05:06,,#bloc1,"size3,bold",17,2,8,7,"fight<br>war, not at all<br>playground spart"
113,video,2,,9,00:05:07,00:05:37,,,,,,,,
114,text,2,,,00:05:15,00:05:28,,#bloc1,"size3,bold",1,3,4,2,"Iraq
"
115,text,2,114,,,,,#bloc2,"size3,bold",1,6,23,4,"half a million war-related deaths<br>4,486 dead service men and women"
116,clear,2,,,00:05:28,,all,,,,,,,
117,text,2,,,00:05:28,00:05:36,,#bloc1,"size2,bold",14,8,11,3,"women don't fight wars<br>bare-breasted, shield-maiden, myth denied,<br>a peaceful world if run by women"
118,video,2,,10,00:05:37,00:06:51,,,,,,,,
119,text,2,,,00:05:37,00:05:44,,#bloc1,"size3,bold",1,6,12,2,"Tokyo Firebombing
"
120,text,2,119,,,,,#bloc2,"size5,bold",1,8,20,5,"125,000 dead"
121,text,2,,,00:05:44,00:05:50,,#bloc1,"size3,bold",1,6,12,2,"Syria
"
122,text,2,121,,,,,#bloc2,"size4,bold",1,8,23,5,"Estimated 200,000 dead and counting"
123,text,2,,,00:05:51,00:05:56,,#bloc1,"size2,bold",2,9,8,3,castle<br>protectors of common people<br>protected from common people
124,text,2,,,00:05:56,00:06:02,,#bloc2,"size2,bold",14,7,9,3,"church
comfort, knowledge,
obligation, hypnotic rhythms, shapes"
125,clear,,,,00:06:02,,all,,,,,,,
126,text,2,,,00:06:03,00:06:09,,#bloc1,"size3,bold",1,6,12,2,9/11
127,text,2,126,,,,,#bloc2,"size5,bold",1,8,20,5,"2,996 dead"
128,clear,,,,00:06:09,,all,,,,,,,
129,text,2,,,00:06:10,00:06:15,,#bloc1,"size3,bold",5,6,15,7,"army
honourable protectors —
uniforms marching, obeying in time"
130,text,2,,,00:06:16,00:06:24,,#bloc1,"size3,bold",1,6,12,2,"Oslo, Norway
"
131,text,2,130,,,,,#bloc2,"size4,bold",1,8,22,5,77 youths ( communists?) dead
132,clear,,,,00:06:24,,all,,,,,,,
133,text,2,,,00:06:24,00:06:29,,#bloc1,"size3,bold",5,7,11,5,"twisted metal
jewellery
building tarn apart"
134,text,2,,,00:06:30,00:06:34,,#bloc1,"size4,large",2,4,23,8,— are people killed in war or do they die?
135,text,2,,,00:06:35,00:06:44,,#bloc1,"size3,large",2,7,13,4,"the battle of Waterloo was won on the playing-fields of Eton;
the opening battles of all subsequent wars have been lost there"
136,clear,,,,00:06:44,,bloc1,,,,,,,
137,video,2,,11,00:06:51,00:07:00,,,,,,,,
138,video,2,,12,00:07:00,00:08:24,,,,,,,,
139,text,2,,,00:07:11,00:07:13,,#bloc1,"size3,large",2,2,23,5,child's body in the street
140,clear,,,,00:07:13,,bloc1,,,,,,,
141,text,2,,,00:07:45,00:07:53,,#bloc1,"size3,bold",1,6,11,2,"road accidents
"
142,text,2,141,,,,,#bloc2,"size4,bold",1,8,18,5,"1,240,000 killed - worldwide annually"
143,clear,2,,,00:07:53,,all,,,,,,,
144,text,2,,,00:07:57,00:08:00,,#bloc1,"size3,large",5,1,16,4,man hangs dead on barbed wire
145,text,2,,,00:08:00,00:08:17,,#bloc2,"size3,bold",1,6,11,2,"american guns
"
146,text,2,145,,,,,,"size4,bold",1,8,18,5,"yearly 31,000 killed, 19,000 are suicides"
147,clear,2,,,,,all,,,,,,,
148,video,2,,13,00:08:24,00:08:38,,,,,,,,
149,text,2,,,00:08:26,00:08:29,,#bloc1,"size3,large",3,5,13,6,woman raped in front of officials
150,text,2,,,00:08:32,00:08:35,,#bloc1,"size3,bold",1,8,11,2,"hunger
"
151,text,2,150,,,,,#bloc2,"size4,bold",1,10,18,5,"kills 25,000 a day"
152,clear,2,,,,,all,,,,,,,
